B027 121.0745 24.8301 80.0 1 1 CWB CSMT FBA 0.2450E-03 0.2450E-03 0.2450E-03 1 0.0 20171201 99999999               
B028 121.0521 24.7010 120.0 1 1 CWB CSMT FBA 0.2450E-03 0.2450E-03 0.2450E-03 1 0.0 20171201 99999999               
B029 120.7577 24.5578 36.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B030 120.8852 24.5863 68.0 1 1 CWB CSMT FBA 0.2450E-03 0.2450E-03 0.2450E-03 1 0.0 20171201 99999999               
B032 120.8226 24.5221 78.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B034 120.8653 24.6381 20.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B035 120.7970 24.6141 13.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B037 120.6837 24.4919 33.0 1 1 CWB CSMT FBA 0.2450E-03 0.2450E-03 0.2450E-03 1 0.0 20171201 99999999               
B039 120.7908 24.4897 160.0 1 1 CWB CSMT FBA 0.2450E-03 0.2450E-03 0.2450E-03 1 0.0 20171201 99999999               
B041 120.6956 24.3898 95.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B043 120.9598 24.6866 88.0 1 1 CWB CSMT FBA 0.2450E-03 0.2450E-03 0.2450E-03 1 0.0 20171201 99999999               
B045 120.9205 24.5399 201.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B050 120.6417 24.1799 100.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B051 120.6597 24.1598 96.0 1 1 CWB CSMT FBA 0.2450E-03 0.2450E-03 0.2450E-03 1 0.0 20171201 99999999               
B053 120.6788 24.1917 137.0 1 1 CWB CSMT FBA 0.2450E-03 0.2450E-03 0.2450E-03 1 0.0 20171201 99999999               
B056 120.6335 24.1570 77.0 1 1 CWB CSMT FBA 0.2450E-03 0.2450E-03 0.2450E-03 1 0.0 20171201 99999999               
B059 120.5718 24.2670 9.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B060 120.6503 24.2219 139.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B061 120.5569 24.1345 38.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B062 120.6842 24.1149 65.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B063 120.6238 24.1078 34.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B066 120.7043 24.2138 174.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B068 120.7732 24.2760 283.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B069 120.8309 24.2596 360.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B070 120.5475 24.1964 11.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B071 120.7952 23.9840 219.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B077 120.7874 23.8272 235.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B078 120.8537 23.8105 289.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B095 121.0199 24.6888 104.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B097 120.9274 24.7884 16.0 1 1 CWB CSMT FBA 0.2450E-03 0.2450E-03 0.2450E-03 1 0.0 20171201 99999999               
B099 120.6993 24.1364 85.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B102 120.7286 24.2470 231.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B103 120.7150 24.3075 223.0 1 1 CWB CSMT FBA 0.2450E-03 0.2450E-03 0.2450E-03 1 0.0 20171201 99999999               
B104 120.6091 24.2443 212.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B111 120.4949 24.1120 13.0 1 1 CWB CSMT FBA 0.2450E-03 0.2450E-03 0.2450E-03 1 0.0 20171201 99999999               
B112 120.4303 24.0552 8.0 1 1 CWB CSMT FBA 0.2450E-03 0.2450E-03 0.2450E-03 1 0.0 20171201 99999999               
B115 120.4778 23.9579 24.0 1 1 CWB CSMT FBA 0.2450E-03 0.2450E-03 0.2450E-03 1 0.0 20171201 99999999               
B116 120.5889 23.8556 49.0 1 1 CWB CSMT FBA 0.2450E-03 0.2450E-03 0.2450E-03 1 0.0 20171201 99999999               
B117 120.4684 24.1324 6.0 1 1 CWB CSMT FBA 0.2450E-03 0.2450E-03 0.2450E-03 1 0.0 20171201 99999999               
B118 120.4313 24.0004 11.0 1 1 CWB CSMT FBA 0.2450E-03 0.2450E-03 0.2450E-03 1 0.0 20171201 99999999               
B120 120.6214 23.9774 238.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B121 120.4589 23.8945 25.0 1 1 CWB CSMT FBA 0.2450E-03 0.2450E-03 0.2450E-03 1 0.0 20171201 99999999               
B122 120.6179 23.8118 85.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B123 120.5516 24.0161 21.0 1 1 CWB CSMT FBA 0.2450E-03 0.2450E-03 0.2450E-03 1 0.0 20171201 99999999               
B135 120.6533 24.3331 146.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B136 120.6587 24.2583 176.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B138 120.6028 23.9205 42.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B139 120.5483 23.9209 32.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B141 120.4713 23.8321 31.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B143 120.7632 23.8798 164.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B145 120.3444 23.9788 2.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B146 120.4913 24.1609 7.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B149 120.5232 24.2563 8.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B162 120.5212 23.8763 36.0 1 1 CWB CSMT FBA 0.2450E-03 0.2450E-03 0.2450E-03 1 0.0 20171201 99999999               
B170 120.7198 24.1548 120.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B171 120.5878 24.3450 28.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B172 120.6820 24.1440 92.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B173 120.6565 24.1113 50.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B174 120.8055 24.2269 478.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B175 121.2043 24.9532 140.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B176 121.2583 25.0250 75.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B177 120.9549 24.6561 89.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B178 120.4124 24.0277 9.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B179 120.5039 24.0339 19.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B180 120.5458 23.9926 25.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
